Sl.No,companies,Price,Signal,url
1,Tata Consultancy Services Ltd(L),3361,JB,https://www.moneycontrol.com/india/stockpricequote/computers-software/tataconsultancyservices/TCS
2,Infosys Ltd(L),1436,DB,https://www.moneycontrol.com/india/stockpricequote/computers-software/infosys/IT
3,HDFC Bank Ltd(L),1577,WTB,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/hdfcbank/HDF01
4,Cipla Ltd(L),1253,H,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C
5,UPL Ltd(L),592,JB,https://www.moneycontrol.com/india/stockpricequote/chemicals/upl/UP04
6,ITC Ltd(L),440,B,https://www.moneycontrol.com/india/stockpricequote/diversified/itc/ITC
7,Britannia Industries Ltd(L),4468,JB,https://www.moneycontrol.com/india/stockpricequote/food-processing/britanniaindustries/BI
8,Asian Paints Ltd(L),3257,DB,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/asianpaints/AP31
9,Divi's Laboratories Ltd(L),3592,DB,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03
10,Kotak Mahindra Bank Ltd(L),1759,JB,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/kotakmahindrabank/KMB
11,Hindustan Unilever Ltd(L),2505,DB,https://www.moneycontrol.com/india/stockpricequote/personal-care/hindustanunilever/HU
12,Dr. Reddy's Laboratories Ltd(L),5607,DB,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL
13,Sun Pharmaceutical Industries Ltd(L),1112,H,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/sunpharmaceuticalindustries/SPI
14,IndusInd Bank Ltd(L),1378,JB,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/indusindbank/IIB
15,Maruti Suzuki India Ltd(L),10004,H,https://www.moneycontrol.com/india/stockpricequote/auto-carsjeeps/marutisuzukiindia/MS24
16,Titan Company Ltd(L),3104,DB,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/titancompany/TI01
17,Adani Ports and Special Economic Zone Ltd(L),792,JB,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/adaniportsspecialeconomiczone/MPS
18,Grasim Industries Ltd(L),1791,JB,https://www.moneycontrol.com/india/stockpricequote/diversified/grasimindustries/GI01
19,Wipro Ltd(L),409,DB,https://www.moneycontrol.com/india/stockpricequote/computers-software/wipro/W
20,HCL Technologies Ltd(L),1173,DB,https://www.moneycontrol.com/india/stockpricequote/computers-software/hcltechnologies/HCL02
21,Tata Motors Ltd(L),601,H,https://www.moneycontrol.com/india/stockpricequote/auto-lcvshcvs/tatamotors/TM03
22,Axis Bank Ltd(L),973,H,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/axisbank/AB16
23,ICICI Bank Ltd(L),959,H,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/icicibank/ICI02
24,Ultratech Cement Ltd(L),8297,JB,https://www.moneycontrol.com/india/stockpricequote/cement-major/ultratechcement/UTC01
25,Reliance Industries Ltd(L),2407,DB,https://www.moneycontrol.com/india/stockpricequote/refineries/relianceindustries/RI
